"","site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1"
"1","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",38.592,321,2004,"77"
"2","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",52.176,321,2004,"78"
"3","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",71.184,321,2004,"79"
"4","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",57.744,321,2004,"80"
"5","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",56.112,321,2004,"81"
"6","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",35.376,321,2004,"82"
"7","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",136.08,321,2004,"83"
"8","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",304.8,321,2004,"84"
"9","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",108.048,321,2004,"85"
"10","Button",NA,NA,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",44.496,321,2004,"86"
"11","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",282.384,331,2004,"87"
"12","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",111.888,331,2004,"88"
"13","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",11.904,331,2004,"89"
"14","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",36.24,331,2004,"90"
"15","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",588,331,2004,"91"
"16","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",0.288,331,2004,"92"
"17","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",571.488,331,2004,"93"
"18","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",8.928,331,2004,"94"
"19","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",7.344,331,2004,"95"
"20","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",478.752,331,2004,"96"
"21","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",2564.496,331,2004,"97"
"22","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",22.176,331,2004,"98"
"23","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",229.2,331,2004,"99"
"24","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",24.288,331,2004,"100"
"25","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",46.848,331,2004,"101"
"26","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",52.8,331,2004,"102"
"27","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",42.096,331,2004,"103"
"28","Button",NA,NA,NA,"sagecheat","Bradley et al. 2006",41,-117.58,NA,"BRAD2006","AGBC_g_m2",851.136,331,2004,"104"
"29","Hanford, high elevation",NA,NA,NA,"cheatgrass","Rickard 1985b",46.5,-119.5,NA,"RICK1985b","AGBC_g_m2",90.44874,1411,1969,"534"
"30","Hanford, low elevation",NA,NA,NA,"cheatgrass","Rickard 1985b",46.5,-119.5,NA,"RICK1985b","AGBC_g_m2",157.85865,1416,1969,"535"
"31","Hanford, high elevation",NA,NA,NA,"cheatgrass","Rickard 1985b",46.5,-119.5,NA,"RICK1985b","litterC_g_m2",121.87454,1413,1969,"701"
"32","Hanford, low elevation",NA,NA,NA,"cheatgrass","Rickard 1985b",46.5,-119.5,NA,"RICK1985b","litterC_g_m2",75.75075,1418,1969,"702"
"33","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1511.0172,320,2004,"851"
"34","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",3770.433,320,2004,"852"
"35","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2077.8264,320,2004,"853"
"36","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1241.1216,320,2004,"854"
"37","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1285.0614,320,2004,"855"
"38","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2042.2764,320,2004,"856"
"39","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1669.5702,320,2004,"857"
"40","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1760.7204,320,2004,"858"
"41","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",3606.903,320,2004,"859"
"42","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1561.7826,320,2004,"860"
"43","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1489.4028,320,2004,"861"
"44","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1604.1582,320,2004,"862"
"45","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1865.0952,320,2004,"863"
"46","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1386.1656,320,2004,"864"
"47","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",3756.213,320,2004,"865"
"48","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1177.2738,320,2004,"866"
"49","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2608.8012,320,2004,"867"
"50","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2427.0696,320,2004,"868"
"51","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",3319.9434,320,2004,"869"
"52","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",972.5058,320,2004,"870"
"53","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1239.984,320,2004,"871"
"54","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1694.1708,320,2004,"872"
"55","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1097.6418,320,2004,"873"
"56","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1275.6762,320,2004,"874"
"57","Button",0,10,NA,"cheatgrass","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2157.4584,320,2004,"875"
"58","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1853.0082,330,2004,"876"
"59","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2541.3984,330,2004,"877"
"60","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",839.5488,330,2004,"878"
"61","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",771.2928,330,2004,"879"
"62","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1050.2892,330,2004,"880"
"63","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1335.8268,330,2004,"881"
"64","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",746.2656,330,2004,"882"
"65","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1105.8894,330,2004,"883"
"66","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",730.3392,330,2004,"884"
"67","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1580.2686,330,2004,"885"
"68","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1004.0742,330,2004,"886"
"69","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1215.6678,330,2004,"887"
"70","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1727.5878,330,2004,"888"
"71","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1826.8434,330,2004,"889"
"72","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",936.2448,330,2004,"890"
"73","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2910.123,330,2004,"891"
"74","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",929.277,330,2004,"892"
"75","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",887.7546,330,2004,"893"
"76","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",853.0578,330,2004,"894"
"77","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1605.8646,330,2004,"895"
"78","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1025.973,330,2004,"896"
"79","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1148.265,330,2004,"897"
"80","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",6304.1526,330,2004,"898"
"81","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1206.1404,330,2004,"899"
"82","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",835.2828,330,2004,"900"
"83","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2656.296,330,2004,"901"
"84","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",842.1084,330,2004,"902"
"85","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1788.4494,330,2004,"903"
"86","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",810.6822,330,2004,"904"
"87","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",665.2116,330,2004,"905"
"88","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1293.309,330,2004,"906"
"89","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",1113.426,330,2004,"907"
"90","Button",0,10,NA,"sagecheat","Bradley et al. 2006",41,-117.58,10,"BRAD2006","totsoilC_g_m2",2318.8554,330,2004,"908"
"91",NA,0,5,"no","cheatgrass","Boulton et al. 1993",46.455551,-119.61513,5,"BOUL1993","totsoilC_g_m2",1129.95,260,1988,"948"
"92",NA,5,15,"no","cheatgrass","Boulton et al. 1993",46.455551,-119.61513,10,"BOUL1993","totsoilC_g_m2",910.8,265,1988,"949"
"93",NA,0,5,"no","sagebrush","Boulton et al. 1993",46.455551,-119.61513,5,"BOUL1993","totsoilC_g_m2",772.9,270,1988,"950"
"94",NA,5,15,"no","sagebrush","Boulton et al. 1993",46.455551,-119.61513,10,"BOUL1993","totsoilC_g_m2",567.6,275,1988,"951"
"95","Canyon Creek",0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",634.212,249,2006,"1014"
"96","Canyon Creek",0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",692.514,249,2006,"1015"
"97","Canyon Creek",0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",1635.3,249,2006,"1016"
"98","Canyon Creek",0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",608.616,249,2006,"1017"
"99","Canyon Creek",0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","orgsoilC_g_m2",467.838,249,2006,"1018"
