"","site","yr_samp","AGBC_g_m2","BGBC_g_m2","litterC_g_m2","orgsoilperC","totsoilperC","BD_g_cm3","orgsoilC_g_m2","totsoilC_g_m2","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","study_year"
"1","E","2008",29.89,NA,200.7828135,NA,1.42,1.11,NA,788.1,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"2","E","2008",40.27,NA,201.2616375,NA,1.38,1.11,NA,765.9,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"3","E","2008",31.53,NA,130.135621,NA,0.993,1.11,NA,551.115,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"4","E","2008",37.99,NA,315.9044175,NA,1.23,1.11,NA,682.65,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"5","E","2008",44.39,NA,289.805016,NA,1.86,1.11,NA,1032.3,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"6","E","2008",27.58,NA,189.387372,NA,1.34,1.11,NA,743.7,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"7","E","2008",46.18,NA,238.5962,NA,1.22,1.11,NA,677.1,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"8","E","2008",32.98,NA,188.4458875,NA,1.5,1.11,NA,832.5,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"9","E","2008",35.37,NA,150.566424,NA,1.26,1.11,NA,699.3,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"10","E","2008",46.09,NA,194.397216,NA,2.18,1.11,NA,1209.9,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"11","E","2008",57.65,NA,287.557906,NA,1.35,1.11,NA,749.25,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"12","E","2008",35.94,NA,219.437634,NA,1.5,1.11,NA,832.5,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"13","O","2008",31.01,NA,252.713328,NA,0.293,1.94,NA,284.21,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"14","O","2008",26.15,NA,245.522186,NA,0.683,1.94,NA,662.51,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"15","O","2008",26.42,NA,174.153609,NA,0.69,1.94,NA,669.3,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"16","O","2008",29.7,NA,175.197425,NA,0.561,1.94,NA,544.17,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"17","O","2008",31.22,NA,220.493175,NA,0.483,1.94,NA,468.51,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"18","O","2008",31.74,NA,152.638,NA,0.517,1.94,NA,501.49,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"19","O","2008",30.32,NA,279.1487415,NA,0.517,1.94,NA,501.49,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"20","O","2008",37.41,NA,208.045215,NA,0.658,1.94,NA,638.26,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"21","O","2008",36.65,NA,202.4346,NA,0.6,1.94,NA,582,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"22","O","2008",29.86,NA,209.267786,NA,0.664,1.94,NA,644.08,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"23","O","2008",43.83,NA,255.957,NA,0.549,1.94,NA,532.53,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"24","O","2008",41.96,NA,141.669985,NA,0.983,1.94,NA,953.51,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"2015"
"25","E","2009",105.34,NA,173.0439375,NA,1.935,1.11,NA,1073.925,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"26","E","2009",60.24,NA,483.32923,NA,2.42,1.11,NA,1343.1,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
"27","E","2009",49.11,NA,308.4289325,NA,2.59,1.11,NA,1437.45,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"2015"
