"","Article_ID","Study_ID"
"1","JONE2015",87
"13","JONE2015",92
"25","JONE2015",88
"29","JONE2015",93
"33","JONE2015",90
"37","JONE2015",95
"41","JONE2015",91
"45","JONE2015",96
"49","JONE2015",89
"53","JONE2015",94
"57","WEBE2015",309
"63","WEBE2015",310
"69","WEBE2015",311
"75","WEBE2015",312
"81","BLAN2006",27
"86","BLAN2006",28
"101","BLAN2006",25
"106","BLAN2006",26
"111","BLAN2006",31
"116","BLAN2006",32
"121","BLAN2006",29
"126","BLAN2006",30
"131","BLAN2006",15
"136","BLAN2006",16
"141","BLAN2006",13
"146","BLAN2006",14
"161","BLAN2006",11
"166","BLAN2006",12
"181","BLAN2006",9
"186","BLAN2006",10
"191","BLAN2006",19
"196","BLAN2006",20
"211","BLAN2006",17
"216","BLAN2006",18
"221","BLAN2006",23
"226","BLAN2006",24
"241","BLAN2006",21
"246","BLAN2006",22
"251","NORT2004",175
"252","NORT2004",177
"253","NORT2004",179
"254","NORT2004",181
"255","NORT2004",182
"256","NORT2004",183
"257","NORT2004",185
"258","NORT2004",188
"259","NORT2004",189
"260","NORT2004",191
"261","NORT2004",192
"262","NORT2004",176
"263","NORT2004",178
"264","NORT2004",180
"265","NORT2004",184
"266","NORT2004",186
"267","NORT2004",187
"268","NORT2004",190
"270","NORT2004",193
"271","NORT2004",195
"272","NORT2004",198
"273","NORT2004",199
"274","NORT2004",201
"275","NORT2004",203
"276","NORT2004",205
"277","NORT2004",194
"278","NORT2004",196
"279","NORT2004",197
"280","NORT2004",200
"281","NORT2004",202
"282","NORT2004",204
"283","NORT2004",147
"284","NORT2004",149
"285","NORT2004",151
"286","NORT2004",155
"287","NORT2004",156
"288","NORT2004",148
"289","NORT2004",150
"290","NORT2004",152
"291","NORT2004",153
"292","NORT2004",154
"293","NORT2004",157
"294","NORT2004",206
"295","NORT2004",207
"296","NORT2004",209
"297","NORT2004",211
"298","NORT2004",212
"299","NORT2004",214
"301","NORT2004",208
"302","NORT2004",210
"303","NORT2004",213
"304","NORT2004",159
"305","NORT2004",160
"306","NORT2004",161
"307","NORT2004",163
"308","NORT2004",164
"309","NORT2004",166
"310","NORT2004",168
"311","NORT2004",170
"312","NORT2004",158
"313","NORT2004",162
"314","NORT2004",165
"315","NORT2004",167
"317","NORT2004",169
"318","NORT2004",171
"319","NORT2004",172
"320","NORT2004",173
"321","NORT2004",174
"325","STAR2015",279
"326","STAR2015",280
"327","STAR2015",281
"328","STAR2015",282
"341","STAR2015",283
"342","STAR2015",284
"343","STAR2015",285
"344","STAR2015",286
"357","STAR2015",287
"358","STAR2015",288
