"","Article_ID","Study_ID","veg","topdepth_cm","bottomdepth_cm","BD_estimated","yr_samp","lat","long"
"1","JONE2015",87,"cheatgrass",0,5,"no","2008",41.229507,-117.4019367
"13","JONE2015",92,"cheatgrass",0,5,"no","2008",41.536094,-117.7637079
"25","JONE2015",88,"cheatgrass",0,5,"no","2009",41.229507,-117.4019367
"29","JONE2015",93,"cheatgrass",0,5,"no","2009",41.536094,-117.7637079
"33","JONE2015",90,NA,NA,NA,NA,"2010",41.229507,-117.4019367
"37","JONE2015",95,NA,NA,NA,NA,"2010",41.536094,-117.7637079
"41","JONE2015",91,NA,NA,NA,NA,"2011",41.229507,-117.4019367
"45","JONE2015",96,NA,NA,NA,NA,"2011",41.536094,-117.7637079
"49","JONE2015",89,"cheatgrass",0,5,"no","2012",41.229507,-117.4019367
"53","JONE2015",94,"cheatgrass",0,5,"no","2012",41.536094,-117.7637079
"57","WEBE2015",309,"cheatgrass",0,4,"yes","2011",42.853,-112.402
"63","WEBE2015",310,"cheatgrass",4,8,"yes","2011",42.853,-112.402
"69","WEBE2015",311,"sagebrush",0,4,"yes","2011",42.853,-112.402
"75","WEBE2015",312,"sagebrush",4,8,"yes","2011",42.853,-112.402
"81","BLAN2006",27,"sagecheat",0,10,"yes",NA,43.247,-115.901
"86","BLAN2006",28,"sagecheat",10,20,"yes",NA,43.247,-115.901
"101","BLAN2006",25,"sagebrush",0,10,"yes",NA,43.247,-115.901
"106","BLAN2006",26,"sagebrush",10,20,"yes",NA,43.247,-115.901
"111","BLAN2006",31,"sagecheat",0,10,"yes",NA,43.292,-115.748
"116","BLAN2006",32,"sagecheat",10,20,"yes",NA,43.292,-115.748
"121","BLAN2006",29,"sagebrush",0,10,"yes",NA,43.292,-115.748
"126","BLAN2006",30,"sagebrush",10,20,"yes",NA,43.292,-115.748
"131","BLAN2006",15,"sagecheat",0,10,"yes",NA,40.111,-112.344
"136","BLAN2006",16,"sagecheat",10,20,"yes",NA,40.111,-112.344
"141","BLAN2006",13,"sagebrush",0,10,"yes",NA,40.111,-112.344
"146","BLAN2006",14,"sagebrush",10,20,"yes",NA,40.111,-112.344
"161","BLAN2006",11,"sagecheat",0,10,"yes",NA,40.08,-112.737
"166","BLAN2006",12,"sagecheat",10,20,"yes",NA,40.08,-112.737
"181","BLAN2006",9,"sagebrush",0,10,"yes",NA,40.08,-112.737
"186","BLAN2006",10,"sagebrush",10,20,"yes",NA,40.08,-112.737
"191","BLAN2006",19,"sagecheat",0,10,"yes",NA,40.971,-116.976
"196","BLAN2006",20,"sagecheat",10,20,"yes",NA,40.971,-116.976
"211","BLAN2006",17,"sagebrush",0,10,"yes",NA,40.971,-116.976
"216","BLAN2006",18,"sagebrush",10,20,"yes",NA,40.971,-116.976
"221","BLAN2006",23,"sagecheat",0,10,"yes",NA,41.202,-117.415
"226","BLAN2006",24,"sagecheat",10,20,"yes",NA,41.202,-117.415
"241","BLAN2006",21,"sagebrush",0,10,"yes",NA,41.202,-117.415
"246","BLAN2006",22,"sagebrush",10,20,"yes",NA,41.202,-117.415
"251","NORT2004",175,"sagecheat",0,5,"no","2001",41.965259,-113.157085
"252","NORT2004",177,"sagecheat",5,12,"no","2001",41.965259,-113.157085
"253","NORT2004",179,"sagecheat",12,32,"no","2001",41.965259,-113.157085
"254","NORT2004",181,"sagecheat",32,39,"yes","2001",41.965259,-113.157085
"255","NORT2004",182,"sagecheat",39,43,"no","2001",41.965259,-113.157085
"256","NORT2004",183,"sagecheat",43,48,"no","2001",41.965259,-113.157085
"257","NORT2004",185,"sagecheat",48,53,"no","2001",41.965259,-113.157085
"258","NORT2004",188,"sagecheat",53,91,"no","2001",41.965259,-113.157085
"259","NORT2004",189,"sagecheat",91,108,"no","2001",41.965259,-113.157085
"260","NORT2004",191,"sagecheat",108,132,"no","2001",41.965259,-113.157085
"261","NORT2004",192,"sagecheat",132,150,"yes","2001",41.965259,-113.157085
"262","NORT2004",176,"sagecheat",0,8,"no","2001",41.965259,-113.157085
"263","NORT2004",178,"sagecheat",8,18,"no","2001",41.965259,-113.157085
"264","NORT2004",180,"sagecheat",18,33,"no","2001",41.965259,-113.157085
"265","NORT2004",184,"sagecheat",33,50,"no","2001",41.965259,-113.157085
"266","NORT2004",186,"sagecheat",50,72,"no","2001",41.965259,-113.157085
"267","NORT2004",187,"sagecheat",72,88,"yes","2001",41.965259,-113.157085
"268","NORT2004",190,"sagecheat",88,118,"yes","2001",41.965259,-113.157085
"269","NORT2004",192,"sagecheat",118,150,"yes","2001",41.965259,-113.157085
"270","NORT2004",193,"sagecheat",0,5,"no","2001",42.162137,-113.432503
"271","NORT2004",195,"sagecheat",5,20,"no","2001",42.162137,-113.432503
"272","NORT2004",198,"sagecheat",20,37,"no","2001",42.162137,-113.432503
"273","NORT2004",199,"sagecheat",37,50.5,"no","2001",42.162137,-113.432503
"274","NORT2004",201,"sagecheat",50.5,66,"yes","2001",42.162137,-113.432503
"275","NORT2004",203,"sagecheat",66,106.5,"yes","2001",42.162137,-113.432503
"276","NORT2004",205,"sagecheat",106.5,120,"yes","2001",42.162137,-113.432503
"277","NORT2004",194,"sagecheat",0,7,"no","2001",42.162137,-113.432503
"278","NORT2004",196,"sagecheat",7,24,"no","2001",42.162137,-113.432503
"279","NORT2004",197,"sagecheat",24,36,"no","2001",42.162137,-113.432503
"280","NORT2004",200,"sagecheat",36,60,"no","2001",42.162137,-113.432503
"281","NORT2004",202,"sagecheat",60,89,"no","2001",42.162137,-113.432503
"282","NORT2004",204,"sagecheat",89,110,"yes","2001",42.162137,-113.432503
"283","NORT2004",147,"sagecheat",0,7,"no","2001",39.421849,-111.55894
"284","NORT2004",149,"sagecheat",7,23,"no","2001",39.421849,-111.55894
"285","NORT2004",151,"sagecheat",23,35,"no","2001",39.421849,-111.55894
"286","NORT2004",155,"sagecheat",35,150,"no","2001",39.421849,-111.55894
"287","NORT2004",156,"sagecheat",150,155,"no","2001",39.421849,-111.55894
"288","NORT2004",148,"sagecheat",0,9,"no","2001",39.421849,-111.55894
"289","NORT2004",150,"sagecheat",9,24,"no","2001",39.421849,-111.55894
"290","NORT2004",152,"sagecheat",24,38,"no","2001",39.421849,-111.55894
"291","NORT2004",153,"sagecheat",38,72,"no","2001",39.421849,-111.55894
"292","NORT2004",154,"sagecheat",72,103,"no","2001",39.421849,-111.55894
"293","NORT2004",157,"sagecheat",103,160,"no","2001",39.421849,-111.55894
"294","NORT2004",206,"sagecheat",0,6,"no","2001",42.5026882,-113.3938899
"295","NORT2004",207,"sagecheat",6,14.5,"no","2001",42.5026882,-113.3938899
"296","NORT2004",209,"sagecheat",14.5,33,"no","2001",42.5026882,-113.3938899
"297","NORT2004",211,"sagecheat",33,55,"no","2001",42.5026882,-113.3938899
"298","NORT2004",212,"sagecheat",55,71,"no","2001",42.5026882,-113.3938899
"299","NORT2004",214,"sagecheat",71,99,"yes","2001",42.5026882,-113.3938899
"301","NORT2004",208,"sagecheat",6,25,"no","2001",42.5026882,-113.3938899
"302","NORT2004",210,"sagecheat",25,35,"no","2001",42.5026882,-113.3938899
"303","NORT2004",213,"sagecheat",35,75,"no","2001",42.5026882,-113.3938899
"304","NORT2004",159,"sagecheat",0,6,"no","2001",41.462043,-113.157667
"305","NORT2004",160,"sagecheat",6,8,"no","2001",41.462043,-113.157667
"306","NORT2004",161,"sagecheat",8,27,"no","2001",41.462043,-113.157667
"307","NORT2004",163,"sagecheat",27,44,"no","2001",41.462043,-113.157667
"308","NORT2004",164,"sagecheat",44,53,"no","2001",41.462043,-113.157667
"309","NORT2004",166,"sagecheat",53,65,"yes","2001",41.462043,-113.157667
"310","NORT2004",168,"sagecheat",65,94,"no","2001",41.462043,-113.157667
"311","NORT2004",170,"sagecheat",94,150,"no","2001",41.462043,-113.157667
"312","NORT2004",158,"sagecheat",0,5,"no","2001",41.462043,-113.157667
"313","NORT2004",162,"sagecheat",5,33,"no","2001",41.462043,-113.157667
"314","NORT2004",165,"sagecheat",33,55,"no","2001",41.462043,-113.157667
"315","NORT2004",167,"sagecheat",55,75,"no","2001",41.462043,-113.157667
"316","NORT2004",168,"sagecheat",75,94,"no","2001",41.462043,-113.157667
"317","NORT2004",169,"sagecheat",94,110,"no","2001",41.462043,-113.157667
"318","NORT2004",171,"sagecheat",0,5,"no","2001",41.892425,-112.2155141
"319","NORT2004",172,"sagecheat",5,20,"no","2001",41.892425,-112.2155141
"320","NORT2004",173,"sagecheat",20,30,"no","2001",41.892425,-112.2155141
"321","NORT2004",174,"sagecheat",30,40,"yes","2001",41.892425,-112.2155141
"324","NORT2004",174,"sagecheat",20,40,"yes","2001",41.892425,-112.2155141
"325","STAR2015",279,"cheatgrass",0,10,"no","2008-2009",39.90333333,-108.40083333
"326","STAR2015",280,"cheatgrass",10,20,"no","2008-2009",39.90333333,-108.40083333
"327","STAR2015",281,"cheatgrass",20,40,"no","2008-2009",39.90333333,-108.40083333
"328","STAR2015",282,"cheatgrass",40,60,"no","2008-2009",39.90333333,-108.40083333
"341","STAR2015",283,"sagebrush",0,10,"no","2008-2009",39.90333333,-108.40083333
"342","STAR2015",284,"sagebrush",10,20,"no","2008-2009",39.90333333,-108.40083333
"343","STAR2015",285,"sagebrush",20,40,"no","2008-2009",39.90333333,-108.40083333
"344","STAR2015",286,"sagebrush",40,60,"no","2008-2009",39.90333333,-108.40083333
"357","STAR2015",287,"sagecheat",0,10,"no","2008-2009",39.90333333,-108.40083333
"358","STAR2015",288,"sagecheat",10,20,"no","2008-2009",39.90333333,-108.40083333
"359","STAR2015",289,"sagecheat",20,40,"no","2008-2009",39.90333333,-108.40083333
"360","STAR2015",290,"sagecheat",40,60,"no","2008-2009",39.90333333,-108.40083333
"373","BRAD2006",41,"cheatgrass",0,10,NA,"2004",40.99,-117.86
"398","BRAD2006",44,"sagecheat",0,10,NA,"2004",40.99,-117.86
"423","BRAD2006",37,"cheatgrass",0,10,NA,"2004",40.57,-118.34
"448","BRAD2006",39,"salt_desert",0,10,NA,"2004",40.57,-118.34
"472","BRAD2006",45,"cheatgrass",0,10,NA,"2004",41,-117.58
"497","BRAD2006",48,"sagecheat",0,10,NA,"2004",41,-117.58
"530","BRAD2006",38,"cheatgrass",NA,NA,NA,"2004",40.57,-118.34
"540","BRAD2006",40,"salt_desert",NA,NA,NA,"2004",40.57,-118.34
"550","BRAD2006",46,"cheatgrass",NA,NA,NA,"2004",41,-117.58
"560","BRAD2006",47,"sagebrush",NA,NA,NA,"2004",41,-117.58
"578","BRAD2006",42,"cheatgrass",NA,NA,NA,"2004",40.99,-117.86
"588","BRAD2006",43,"sagebrush",NA,NA,NA,"2004",40.99,-117.86
"598","NORT2008",216,"sagecheat",0,10,NA,"2003",42.70777778,-108.60583333
"601","NORT2008",215,"cheatgrass",0,10,NA,"2003",42.70777778,-108.60583333
"640","MAHO2018a",109,"sagecheat",0,10,"no",NA,41.04656992,-117.0097999
"641","MAHO2018a",107,"cheatgrass",0,10,"no",NA,41.00121494,-116.9872394
"642","MAHO2018a",105,"cheatgrass",0,10,"no",NA,40.99174113,-116.9720639
"643","MAHO2018a",120,"sagecheat",0,10,"no",NA,41.20085394,-116.8558196
"644","MAHO2018a",114,"cheatgrass",0,10,"no",NA,41.17547069,-116.9059484
"645","MAHO2018a",115,"cheatgrass",0,10,"no",NA,41.17576347,-116.9041072
"646","MAHO2018a",97,"sagecheat",0,10,"no",NA,40.64871074,-117.9034863
"647","MAHO2018a",100,"cheatgrass",0,10,"no",NA,40.69282033,-117.9217565
"648","MAHO2018a",99,"cheatgrass",0,10,"no",NA,40.6920357,-117.9144585
"649","MAHO2018a",98,"cheatgrass",0,10,"no",NA,40.69103667,-117.9243636
"650","MAHO2018a",106,"sagecheat",0,10,"no",NA,40.99685694,-116.7675401
"651","MAHO2018a",108,"cheatgrass",0,10,"no",NA,41.01752068,-116.8178031
"652","MAHO2018a",124,"sagecheat",0,10,"no",NA,41.67256147,-118.1327585
"653","MAHO2018a",121,"cheatgrass",0,10,"no",NA,41.58652131,-118.081253
"654","MAHO2018a",123,"cheatgrass",0,10,"no",NA,41.59414331,-118.0758684
"655","MAHO2018a",122,"cheatgrass",0,10,"no",NA,41.58902398,-118.0764536
"656","MAHO2018a",101,"cheatgrass",0,10,"no",NA,40.9753649,-116.8302893
"657","MAHO2018a",103,"sagecheat",0,10,"no",NA,40.98172149,-116.8207496
"658","MAHO2018a",102,"sagecheat",0,10,"no",NA,40.97962727,-116.8273654
"659","MAHO2018a",104,"cheatgrass",0,10,"no",NA,40.98551857,-116.8417027
"660","MAHO2018a",116,"sagecheat",0,10,"no",NA,41.18340592,-117.8054937
"661","MAHO2018a",117,"cheatgrass",0,10,"no",NA,41.18419331,-117.8098555
"662","MAHO2018a",118,"cheatgrass",0,10,"no",NA,41.1884131,-117.8101653
"663","MAHO2018a",119,"cheatgrass",0,10,"no",NA,41.19136487,-117.8314411
"664","MAHO2018a",113,"sagecheat",0,10,"no",NA,41.17273659,-117.7071972
"665","MAHO2018a",112,"sagecheat",0,10,"no",NA,41.15711155,-117.7174876
"666","MAHO2018a",110,"sagecheat",0,10,"no",NA,41.15533736,-117.7189185
"667","MAHO2018a",111,"cheatgrass",0,10,"no",NA,41.15653253,-117.7229924
"668","MAHO2018b",132,"sagebrush",NA,NA,NA,"2017",41.212389,-117.391056
"671","MAHO2018b",127,"sagebrush",NA,NA,NA,"2017",40.779361,-117.6835
"674","MAHO2018b",125,"sagebrush",NA,NA,NA,"2017",40.493167,-117.56725
"677","MAHO2018b",144,"sagebrush",NA,NA,NA,"2017",41.714417,-117.762139
"680","MAHO2018b",133,"sagebrush",NA,NA,NA,"2017",41.219778,-117.04125
"683","MAHO2018b",129,"sagebrush",NA,NA,NA,"2017",40.967611,-117.651972
"686","MAHO2018b",136,"sagebrush",NA,NA,NA,"2017",41.263639,-117.706806
"689","MAHO2018b",138,"sagebrush",NA,NA,NA,"2017",41.314778,-117.687
"692","MAHO2018b",130,"sagebrush",NA,NA,NA,"2017",40.982792,-117.575019
"695","MAHO2018b",141,"sagebrush",NA,NA,NA,"2017",41.539986,-117.769783
"698","MAHO2018b",142,"sagebrush",NA,NA,NA,"2017",41.621806,-118.244667
"701","MAHO2018b",134,"cheatgrass",NA,NA,NA,"2017",41.228756,-117.401792
"704","MAHO2018b",140,"cheatgrass",NA,NA,NA,"2017",41.535894,-117.762083
"707","MAHO2018b",131,"cheatgrass",NA,NA,NA,"2017",41.170667,-117.403333
"710","MAHO2018b",128,"cheatgrass",NA,NA,NA,"2017",40.8595,-117.72875
"713","MAHO2018b",143,"cheatgrass",NA,NA,NA,"2017",41.641167,-118.242778
"716","MAHO2018b",135,"cheatgrass",NA,NA,NA,"2017",41.24385,-117.3836167
"719","MAHO2018b",137,"cheatgrass",NA,NA,NA,"2017",41.28255,-117.3779833
"722","MAHO2018b",139,"cheatgrass",NA,NA,NA,"2017",41.35338333,-117.62285
"725","MAHO2018b",126,"cheatgrass",NA,NA,NA,"2017",40.69035,-117.9552333
"728","GOER2011",80,"sagecheat",0,90,"no","2008",39.83281,-119.8809
"734","GOER2011",81,"sagecheat",0,90,"no","2008",39.88089,-119.7154
"740","GOER2011",79,"sagecheat",0,90,"no","2008",39.23925,-119.743
"746","GOER2011",82,"sagecheat",0,90,"no","2008",39.90003,-119.7014
"752","RAU2011",230,"sagecheat",0,90,"no","2011",40.20672165,-112.4580165
"753","RAU2011",232,"sagecheat",0,90,"no","2011",40.20733279,-112.4609906
"754","RAU2011",231,"sagecheat",0,90,"no","2011",40.20714347,-112.4581431
"755","RAU2011",227,"sagecheat",0,90,"no","2011",40.19954278,-112.462198
"756","RAU2011",228,"sagecheat",0,90,"no","2011",40.19954701,-112.4604358
"757","RAU2011",229,"sagecheat",0,90,"no","2011",40.19960348,-112.4588157
"758","RAU2011",233,"sagecheat",0,90,"no","2011",41.54733837,-116.8771132
"759","RAU2011",236,"sagecheat",0,90,"no","2011",41.54882116,-116.8739449
"760","RAU2011",237,"sagebrush",0,90,"no","2011",41.54942075,-116.878692
"761","RAU2011",234,"sagebrush",0,90,"no","2011",41.54761685,-116.8850981
"762","RAU2011",235,"sagecheat",0,90,"no","2011",41.54851208,-116.8886577
"763","RAU2011",238,"sagebrush",0,90,"no","2011",41.55029084,-116.8839063
"764","RAU2011",251,"sagecheat",0,90,"no","2011",43.75699849,-112.2825196
"765","RAU2011",252,"sagecheat",0,90,"no","2011",43.75857212,-112.2802924
"766","RAU2011",254,"sagecheat",0,90,"no","2011",43.77661251,-112.2765518
"767","RAU2011",253,"sagecheat",0,90,"no","2011",43.77403142,-112.275478
"768","RAU2011",255,"sagecheat",0,90,"no","2011",43.77944836,-112.2789981
"769","RAU2011",245,"sagecheat",0,90,"no","2011",42.7201419,-119.4269876
"770","RAU2011",246,"sagecheat",0,90,"no","2011",42.72104923,-119.4296365
"771","RAU2011",247,"sagebrush",0,90,"no","2011",42.72237553,-119.4231421
"772","RAU2011",239,"sagecheat",0,90,"no","2011",42.70770498,-119.441863
"773","RAU2011",240,"sagecheat",0,90,"no","2011",42.70860136,-119.4352924
"774","RAU2011",241,"sagecheat",0,90,"no","2011",42.70928671,-119.4365158
"775","RAU2011",262,"sagecheat",0,90,"no","2011",47.61750084,-119.6812963
"776","RAU2011",263,"sagecheat",0,90,"no","2011",47.62388108,-119.680904
"777","RAU2011",248,"sagecheat",0,90,"no","2011",42.72243147,-119.4943213
"778","RAU2011",249,"sagebrush",0,90,"no","2011",42.72360542,-119.4958217
"779","RAU2011",250,"sagecheat",0,90,"no","2011",42.72398644,-119.4853458
"780","RAU2011",242,"sagecheat",0,90,"no","2011",42.7172492,-119.4912194
"781","RAU2011",243,"sagecheat",0,90,"no","2011",42.71958473,-119.4865134
"782","RAU2011",244,"sagecheat",0,90,"no","2011",42.71999049,-119.4898025
"783","RAU2011",257,"sagecheat",0,90,"no","2011",46.74932533,-119.3605141
"784","RAU2011",260,"sagecheat",0,90,"no","2011",46.75059935,-119.3576499
"785","RAU2011",261,"sagecheat",0,90,"no","2011",46.75070968,-119.3649477
"786","RAU2011",256,"sagecheat",0,90,"no","2011",46.74908802,-119.3501864
"787","RAU2011",258,"sagecheat",0,90,"no","2011",46.74999568,-119.3524387
"788","RAU2011",259,"sagecheat",0,90,"no","2011",46.75036178,-119.3481993
"789","PESC2015",225,"sagebrush",NA,NA,NA,"2013",43.51444444,-110.71166667
"791","PESC2015",223,"sagebrush",NA,NA,NA,"2013",43.29583333,-110.6575
"793","PESC2015",226,"sagebrush",NA,NA,NA,"2013",43.51444444,-110.71166667
"795","PESC2015",224,"sagebrush",NA,NA,NA,"2013",43.3,-110.66055556
"797","NORT2012",219,"sagebrush",0,10,"yes","1999",40.33333333,-112.56666667
"865","NORT2012",220,"sagebrush",0,10,"yes","2000",40.33333333,-112.56666667
"929","NORT2012",217,"cheatgrass",0,10,"yes","1999",40.33333333,-112.56666667
"997","NORT2012",218,"cheatgrass",0,10,"yes","2000",40.33333333,-112.56666667
"1061","ANDE2018",1,"cheatgrass",NA,NA,NA,"2013",43.28333333,-116.2
"1113","BOUL1993",33,"cheatgrass",0,5,"no","1988",46.455551,-119.615134
"1114","BOUL1993",34,"cheatgrass",5,15,"no","1988",46.455551,-119.615134
"1115","BOUL1993",35,"sagebrush",0,5,"no","1988",46.455551,-119.615134
"1116","BOUL1993",36,"sagebrush",5,15,"no","1988",46.455551,-119.615134
"1117","GILL1999",65,"cheatgrass",0,10,"no","1999",41.8667,-113.0833
"1118","GILL1999",66,"cheatgrass",10,20,"no","1999",41.8667,-113.0833
"1119","GILL1999",67,"cheatgrass",20,30,"no","1999",41.8667,-113.0833
"1120","GILL1999",68,"cheatgrass",30,40,"no","1999",41.8667,-113.0833
"1121","GILL1999",69,"cheatgrass",40,50,"no","1999",41.8667,-113.0833
"1122","GILL1999",70,"cheatgrass",70,80,"no","1999",41.8667,-113.0833
"1123","GILL1999",71,"cheatgrass",90,100,"no","1999",41.8667,-113.0833
"1124","GILL1999",72,"salt_desert",0,10,"no","1999",41.8667,-113.0833
"1125","GILL1999",73,"salt_desert",10,20,"no","1999",41.8667,-113.0833
"1126","GILL1999",74,"salt_desert",20,30,"no","1999",41.8667,-113.0833
"1127","GILL1999",75,"salt_desert",30,40,"no","1999",41.8667,-113.0833
"1128","GILL1999",76,"salt_desert",40,50,"no","1999",41.8667,-113.0833
"1129","GILL1999",77,"salt_desert",70,80,"no","1999",41.8667,-113.0833
"1130","GILL1999",78,"salt_desert",90,100,"no","1999",41.8667,-113.0833
"1131","HOOK2008",83,"cheatgrass",0,100,"no","2001-2002",40.2833,-112.4667
"1132","HOOK2008",84,"sagebrush",0,100,"no","2001-2002",40.2833,-112.4667
"1133","DIAM2012",58,"cheatgrass",NA,NA,NA,"2005",41.8647,-117.655
"1134","DIAM2012",59,"cheatgrass",NA,NA,NA,"2005",41.8647,-117.655
"1135","DIAM2012",60,"cheatgrass",NA,NA,NA,"2006",41.8647,-117.655
"1136","DIAM2012",61,"cheatgrass",NA,NA,NA,"2007",41.8647,-117.655
"1137","JOHN2011",86,"sagebrush",0,20,"yes","2008",41.3843,-117.3021
"1138","JOHN2011",85,"cheatgrass",0,20,"yes","2008",41.3843,-117.3021
"1139","BJER1984",4,"salt_desert",0,2,"yes","1968-1970",41.87,-113.08
"1140","BJER1984",5,"salt_desert",2,30,"yes","1968-1970",41.87,-113.08
"1141","BJER1984",6,"salt_desert",30,60,"yes","1968-1970",41.87,-113.08
"1142","BJER1984",7,"salt_desert",60,90,"yes","1968-1970",41.87,-113.08
"1143","BJER1984",8,"salt_desert",NA,NA,NA,"1968-1970",41.87,-113.08
"1144","DAVI2009",57,"cheatgrass",NA,NA,NA,"2005-2007",43.48333333,-119.7166667
"1145","PEAR1965",221,"sagebrush",NA,NA,NA,"1960-1961",43.8,-119.9
