"","Article_ID","Study_ID","litterC_g_m2.mean","orgsoilC_g_m2.mean","totsoilC_g_m2.mean","BGBC_g_m2.mean","AGBC_g_m2.mean","Carbon_pool"
"1","ANDE2018",1,-2,-2,-2,-2,4127.27010234306,"AGB"
"2","BECH2007",2,-2,-2,1720.62,-2,-2,"total soil"
"3","BECH2007",3,-2,-2,1194.48,-2,-2,"total soil"
"4","BJER1984",4,-2,500.544,-2,-2,-2,"organic soil"
"5","BJER1984",5,-2,3259.872,-2,-2,-2,"organic soil"
"6","BJER1984",6,-2,3514.5,-2,-2,-2,"organic soil"
"7","BJER1984",7,-2,3139.62,-2,-2,-2,"organic soil"
"8","BJER1984",8,410.969,-2,-2,369.315,189.318,"litter"
"9","BLAN2006",9,-2,1549.4112,-2,-2,-2,"organic soil"
"10","BLAN2006",10,-2,1404,-2,-2,-2,"organic soil"
"11","BLAN2006",11,-2,1602.7362,-2,-2,-2,"organic soil"
"12","BLAN2006",12,-2,897.75,-2,-2,-2,"organic soil"
"13","BLAN2006",13,-2,1743.372,-2,-2,-2,"organic soil"
"14","BLAN2006",14,-2,1860.3,-2,-2,-2,"organic soil"
"15","BLAN2006",15,-2,1882.728,-2,-2,-2,"organic soil"
"16","BLAN2006",16,-2,1101.33,-2,-2,-2,"organic soil"
"17","BLAN2006",17,-2,967.5288,-2,-2,-2,"organic soil"
"18","BLAN2006",18,-2,498.96,-2,-2,-2,"organic soil"
"19","BLAN2006",19,-2,978.7626,-2,-2,-2,"organic soil"
"20","BLAN2006",20,-2,512.055,-2,-2,-2,"organic soil"
"21","BLAN2006",21,-2,2348.5752,-2,-2,-2,"organic soil"
"22","BLAN2006",22,-2,1078.65,-2,-2,-2,"organic soil"
"23","BLAN2006",23,-2,2376.0198,-2,-2,-2,"organic soil"
"24","BLAN2006",24,-2,1251.18,-2,-2,-2,"organic soil"
"25","BLAN2006",25,-2,707.8716,-2,-2,-2,"organic soil"
"26","BLAN2006",26,-2,504.63,-2,-2,-2,"organic soil"
"27","BLAN2006",27,-2,1164.618,-2,-2,-2,"organic soil"
"28","BLAN2006",28,-2,779.49,-2,-2,-2,"organic soil"
"29","BLAN2006",29,-2,933.4008,-2,-2,-2,"organic soil"
