"","Study_ID","pool","meanpv","n","var","se"
"1","10","orgsoilC_g_m2",1692.18,1,NA,NA
"2","11","orgsoilC_g_m2",1663.74,1,NA,NA
"3","12","orgsoilC_g_m2",1862.82,1,NA,NA
"4","22","orgsoilC_g_m2",895.86,1,NA,NA
"5","23","orgsoilC_g_m2",853.2,1,NA,NA
"6","56","AGBC_g_m2",20.07023409,25,52.4222496937628,1.4480642208654
"7","260","totsoilC_g_m2",1129.95,1,NA,NA
"8","265","totsoilC_g_m2",910.8,1,NA,NA
"9","300","totsoilC_g_m2",1134.738936,25,397880.097216062,126.155475064075
"10","301","AGBC_g_m2",21.0672,10,30.0582144,1.73373049808787
"11","320","totsoilC_g_m2",1943.93088,25,720410.53920102,169.754003098722
"12","321","AGBC_g_m2",90.4608,10,6695.1926784,25.8750703929477
"13","492","BGBC_g_m2",185.618333333333,3,6471.77899433334,46.4463094850148
"14","494","orgsoilC_g_m2",2730.69966666667,3,683215.187850333,477.219442133397
"15","502","BGBC_g_m2",48.46,3,254.938288,9.21842878875426
"16","504","orgsoilC_g_m2",3228.85633333333,3,146468.831217333,220.959144954698
"17","512","BGBC_g_m2",161.410666666667,3,6540.16364133333,46.6910542514421
"18","514","orgsoilC_g_m2",1279.48633333333,3,46775.6221363334,124.867425878187
"19","522","BGBC_g_m2",77.5233333333333,3,2.75395733333331,0.958115743414005
"20","524","orgsoilC_g_m2",1382.05366666667,3,92751.4627903334,175.832745139933
"21","531","AGBC_g_m2",120,1,NA,NA
"22","532","BGBC_g_m2",200,1,NA,NA
"23","533","litterC_g_m2",90,1,NA,NA
"24","534","orgsoilC_g_m2",7210,1,NA,NA
"25","545","totsoilC_g_m2",5405.4,1,NA,NA
"26","625","totsoilC_g_m2",2099.553668725,4,936407.515729834,483.840757824781
"27","650","totsoilC_g_m2",1608.83513374,4,79682.1185420721,141.14010640324
"28","1209","orgsoilC_g_m2",2066.94217849263,19,615474.419285245,179.98163930995
"29","1222","orgsoilC_g_m2",1827.09538676471,68,152124.383622826,47.2982376899073
"30","1223","orgsoilC_g_m2",1901.214444375,64,186952.037922404,54.0474383531501
"31","1464","orgsoilC_g_m2",1672.12,4,232598.914133333,241.142548160488
"32","1469","orgsoilC_g_m2",1340.55,4,95336.1899999999,154.382795349741
"33","1474","orgsoilC_g_m2",2190.5025,4,70428.482025,132.691825318103
"34","1479","orgsoilC_g_m2",1876.935,4,111922.071033333,167.273780845455
"35","1521","AGBC_g_m2",21.74,1,NA,NA
"36","1522","AGBC_g_m2",13.8,1,NA,NA
"37","1523","BGBC_g_m2",48.3,1,NA,NA
"38","1524","BGBC_g_m2",7.8,1,NA,NA
"39","1525","litterC_g_m2",3.07,1,NA,NA
"40","1526","litterC_g_m2",13.58,1,NA,NA
"41","1541","AGBC_g_m2",16.9,1,NA,NA
"42","1542","AGBC_g_m2",13.8,1,NA,NA
"43","1543","BGBC_g_m2",36.85,1,NA,NA
"44","1544","BGBC_g_m2",10.49,1,NA,NA
"45","1545","litterC_g_m2",3.53,1,NA,NA
"46","1546","litterC_g_m2",2.76,1,NA,NA
"47","1561","AGBC_g_m2",14.69,1,NA,NA
"48","1562","AGBC_g_m2",11.34,1,NA,NA
"49","1563","BGBC_g_m2",41.08,1,NA,NA
"50","1564","BGBC_g_m2",12.32,1,NA,NA
"51","1565","litterC_g_m2",2.76,1,NA,NA
"52","1566","litterC_g_m2",15.05,1,NA,NA
"53","1654","orgsoilC_g_m2",1104.42,6,70470.975456,108.375101273309
"54","1659","orgsoilC_g_m2",547.944,6,2040.4175616,18.440975939467
"55","1691","AGBC_g_m2",5.290398,1,NA,NA
"56","1692","BGBC_g_m2",32.581,1,NA,NA
"57","6002","totsoilC_g_m2",1745.45702946667,3,81628.2629960887,164.952784149575
"58","6003","totsoilC_g_m2",1920.75414336,2,4650.49778096992,48.2208346099999
"59","6004","totsoilC_g_m2",1283.13736641,3,34290.6177936945,106.912141177845
"60","4000","orgsoilC_g_m2",2133.00578847143,7,2691660.75262758,620.09915712012
"61","4001","orgsoilC_g_m2",1914.68203501429,7,1800521.73939211,507.166039223576
"62","4002","orgsoilC_g_m2",1201.14518585,6,1291016.54234272,463.863583097214
"63","4003","orgsoilC_g_m2",1838.45851795,7,12691005.9553182,1346.47720023762
"64","4004","orgsoilC_g_m2",742.794474233333,6,323084.908171399,232.05060804754
"65","4005","orgsoilC_g_m2",553.544939975,4,90343.3535060644,150.285855543747
"66","4006","orgsoilC_g_m2",972.323226925,4,2052168.70779129,716.269625872704
"67","4007","orgsoilC_g_m2",2448.4124915,2,154611.310429504,278.0389455
