"","Study_ID","pool","meanpv","n","var","se"
"1","10","orgsoilC_g_m2",1562.11117038476,3,22341.6643004058,86.2972852033515
"2","11","orgsoilC_g_m2",2022.82579903307,4,376837.161956246,306.935319715834
"3","12","orgsoilC_g_m2",2079.14060753991,16,403354.685313618,158.775526552744
"4","22","orgsoilC_g_m2",849.866402955429,3,110834.764471708,192.210617528193
"5","23","orgsoilC_g_m2",743.961270414339,4,28251.2776846033,84.0405819896009
"6","56","AGBC_g_m2",20.07023409,25,52.4222496937628,1.4480642208654
"7","260","totsoilC_g_m2",1129.95,1,NA,NA
"8","265","totsoilC_g_m2",910.8,1,NA,NA
"9","300","totsoilC_g_m2",1134.738936,25,397880.097216062,126.155475064075
"10","301","AGBC_g_m2",21.0672,10,30.0582144,1.73373049808787
"11","320","totsoilC_g_m2",1943.93088,25,720410.53920102,169.754003098722
"12","321","AGBC_g_m2",90.4608,10,6695.1926784,25.8750703929477
"13","414","orgsoilC_g_m2",1.34030406594196,10,0.113464818981547,0.10651986621356
"14","502","BGBC_g_m2",185.618333333333,3,6471.77899433333,46.4463094850148
"15","504","orgsoilC_g_m2",2730.69966666667,3,683215.187850334,477.219442133398
"16","512","BGBC_g_m2",48.46,3,254.938288,9.21842878875426
"17","514","orgsoilC_g_m2",3228.85633333333,3,146468.831217333,220.959144954698
"18","522","BGBC_g_m2",161.410666666667,3,6540.16364133333,46.6910542514421
"19","524","orgsoilC_g_m2",1279.48633333333,3,46775.6221363333,124.867425878187
"20","532","BGBC_g_m2",77.5233333333333,3,2.75395733333334,0.958115743414009
"21","534","orgsoilC_g_m2",1382.05366666667,3,92751.4627903333,175.832745139932
"22","541","AGBC_g_m2",116.247136840966,5,268.148084211558,7.3232244839491
"23","542","BGBC_g_m2",220.925851632212,5,10592.508780374,46.0271849679599
"24","543","litterC_g_m2",112.931684820368,5,783.294927164798,12.5163487260846
"25","544","orgsoilC_g_m2",7330.76193428306,5,563263.523090493,335.637758034013
"26","555","totsoilC_g_m2",5404.7671518275,15,871988.472518322,241.106957250418
"27","1219","orgsoilC_g_m2",2066.94217849263,19,615474.419285245,179.98163930995
"28","1232","orgsoilC_g_m2",1827.09538676471,68,152124.383622826,47.2982376899073
"29","1233","orgsoilC_g_m2",1901.214444375,64,186952.037922404,54.0474383531501
"30","1474","orgsoilC_g_m2",1672.12,4,232598.914133333,241.142548160488
"31","1479","orgsoilC_g_m2",1340.55,4,95336.19,154.382795349741
"32","1484","orgsoilC_g_m2",2190.5025,4,70428.482025,132.691825318103
"33","1489","orgsoilC_g_m2",1876.935,4,111922.071033333,167.273780845455
"34","1531","AGBC_g_m2",21.74,5,0,0
"35","1532","AGBC_g_m2",13.8,5,0,0
"36","1533","BGBC_g_m2",48.3,5,0,0
"37","1534","BGBC_g_m2",7.8,5,0,0
"38","1535","litterC_g_m2",3.07,5,0,0
"39","1536","litterC_g_m2",13.58,5,0,0
"40","1551","AGBC_g_m2",16.9,5,0,0
"41","1552","AGBC_g_m2",13.8,5,0,0
"42","1553","BGBC_g_m2",36.85,5,0,0
"43","1554","BGBC_g_m2",10.49,5,0,0
"44","1555","litterC_g_m2",3.53,5,0,0
"45","1556","litterC_g_m2",2.76,5,0,0
"46","1571","AGBC_g_m2",14.69,5,0,0
"47","1572","AGBC_g_m2",11.34,5,0,0
"48","1573","BGBC_g_m2",41.08,5,0,0
"49","1574","BGBC_g_m2",12.32,5,0,0
"50","1575","litterC_g_m2",2.76,5,0,0
"51","1576","litterC_g_m2",15.05,5,0,0
"52","1664","orgsoilC_g_m2",1104.42,6,70470.975456,108.375101273309
"53","1669","orgsoilC_g_m2",547.944,6,2040.4175616,18.440975939467
"54","1701","AGBC_g_m2",6.42169907848636,6,12.3728242599426,1.43601440684176
"55","1702","BGBC_g_m2",43.0746899825395,6,1440.96773066994,15.4971380727214
