"","pool","Article_ID","n"
"1","AGBC_g_m2","ANDE2018",52
"2","AGBC_g_m2","BJER1984",1
"3","AGBC_g_m2","BRAD2006",68
"4","AGBC_g_m2","CLEA2010",2
"5","AGBC_g_m2","DAVI2009",1
"6","AGBC_g_m2","DIAM2012",4
"7","AGBC_g_m2","DRIE1997",2
"8","AGBC_g_m2","HOOK2008",2
"9","AGBC_g_m2","JONE2015",56
"10","AGBC_g_m2","MCAB2017",1
"11","AGBC_g_m2","PEAR1965",2
"12","AGBC_g_m2","PESC2015",8
"13","AGBC_g_m2","RICK1985b",3
"14","AGBC_g_m2","SVEJ2001",12
"15","AGBC_g_m2","WEST1972",4
"16","BGBC_g_m2","BJER1984",1
"17","BGBC_g_m2","CLEA2010",2
"18","BGBC_g_m2","GOER2011",24
"19","BGBC_g_m2","HOOK2008",2
"20","BGBC_g_m2","RAU2011",37
"21","BGBC_g_m2","RICK1985b",6
"22","BGBC_g_m2","SVEJ2001",12
"23","BGBC_g_m2","WEST1972",4
"24","litterC_g_m2","BJER1984",1
"25","litterC_g_m2","CLEA2010",2
"26","litterC_g_m2","HOOK2008",2
"27","litterC_g_m2","JONE2015",56
"28","litterC_g_m2","MCAB2017",1
"29","litterC_g_m2","RICK1985b",3
"30","litterC_g_m2","SVEJ2001",12
"31","litterC_g_m2","WEST1972",4
"32","orgsoilC_g_m2","BJER1984",4
"33","orgsoilC_g_m2","BLAN2006",170
"34","orgsoilC_g_m2","GASC2015",1
"35","orgsoilC_g_m2","GOER2011",24
"36","orgsoilC_g_m2","NORT2004",74
"37","orgsoilC_g_m2","NORT2008",38
"38","orgsoilC_g_m2","NORT2012",264
"39","orgsoilC_g_m2","RAU2011",37
"40","orgsoilC_g_m2","SAET2005",1
"41","orgsoilC_g_m2","SORE2013",2
"42","orgsoilC_g_m2","STAR2015",48
"43","orgsoilC_g_m2","WEBE2015",24
"44","totsoilC_g_m2","BECH2007",2
"45","totsoilC_g_m2","BRAD2006",157
"46","totsoilC_g_m2","DAVI2007",2
"47","totsoilC_g_m2","JOHN2011",2
"48","totsoilC_g_m2","JONE2015",40
"49","totsoilC_g_m2","MAHO2018a",27
"50","totsoilC_g_m2","SAET2005",1
"51","totsoilC_g_m2","SORE2013",2
"52","totsoilC_g_m2","VAN2005",6
