"","pool","invaded","burned","mean","n"
"1","AGBC_g_m2","invaded","burned",48.1386372580645,62
"2","AGBC_g_m2","invaded","unburned",45.9072723282248,90
"3","AGBC_g_m2","native","burned",365.600842105263,38
"4","AGBC_g_m2","native","unburned",299.090857142857,28
"5","BGBC_g_m2","invaded","unburned",50.9771428571429,7
"6","BGBC_g_m2","native","burned",81.4962222222222,9
"7","BGBC_g_m2","native","unburned",188.873888888889,72
"8","litterC_g_m2","invaded","burned",201.497872303571,28
"9","litterC_g_m2","invaded","unburned",118.063806932432,37
"10","litterC_g_m2","native","unburned",140.0418125,16
"11","orgsoilC_g_m2","invaded","unburned",1807.95414517422,180
"12","orgsoilC_g_m2","native","burned",1475.21762626263,99
"13","orgsoilC_g_m2","native","unburned",1712.27803581341,408
"14","totsoilC_g_m2","invaded","burned",1284.16051247036,111
"15","totsoilC_g_m2","invaded","unburned",1275.00613636364,22
"16","totsoilC_g_m2","native","burned",1210.06370930867,90
"17","totsoilC_g_m2","native","unburned",1529.4843898475,16
