"","study","soilC_g_m2.meanfxn","AGBC_g_m2.meanfxn","BGBC_g_m2.meanfxn","litterC_g_m2.meanfxn"
"1","Blank and Norton 2006",1550.18639666667,NA,NA,NA
"2","Boulton et al. 1993",845.3125,NA,NA,NA
"3","Bradley et al. 2006",1436.72254074074,280.658,NA,NA
"4","Davies et al. 2009",NA,6.4393516091954,NA,NA
"5","Diamond et al. 2012",NA,35.1818775,NA,NA
"6","Gill and Burke 1999",8000,NA,NA,NA
"7","Goergen et al. 2011",2119.11329166667,NA,127.796958333333,NA
"8","Hooker et al. 2008",6705,NA,220,75
"9","Johnson et al. 2011",NA,NA,NA,NA
"10","Jones et al. 2015",1231.25090277778,36.0916666666667,NA,136.911597354167
"11","Mahood et al. unpub1",1808.67248739074,NA,NA,NA
"12","Mahood et al. unpub2",1900.7215148375,NA,NA,NA
"13","Norton et al. 2004",2043.0042766744,NA,NA,NA
"14","Norton et al. 2008",1961.89293724553,NA,NA,NA
"15","Rau et al. 2011",3046.11908108108,NA,160.100918918919,NA
"16","Stark et al. 2015",1817.274375,NA,NA,NA
"17","Weber et al. 2015",1058.02666666667,NA,NA,NA
