"","pool","veg","N","pool_value","sd","se","ci"
"1","AGBC_g_m2","cheatgrass",152,46.8255233322368,39.110623528487,3.1722904650507,6.26780808688507
"2","AGBC_g_m2","sagebrush",23,306.76352173913,500.83692067391,104.43171705247,216.578125430091
"3","AGBC_g_m2","sagecheat",28,441.296571428571,734.759656311148,138.856523143042,284.910051597244
"4","AGBC_g_m2","salt_desert",12,145.00925,146.160295417628,42.1928429521013,92.865821199652
"5","BGBC_g_m2","cheatgrass",19,93.4672105263158,79.1803374572381,18.165215225871,38.1637010337545
"6","BGBC_g_m2","sagebrush",18,227.841944444444,251.30457264735,59.2330558207096,124.970823893203
"7","BGBC_g_m2","sagecheat",28,149.68925,139.826894694469,26.4247992828559,54.21920956043
"8","BGBC_g_m2","salt_desert",4,381.72875,69.4213581898011,34.7106790949006,110.464872439455
"9","litterC_g_m2","cheatgrass",65,154.004635092308,95.2447629861166,11.813658897995,23.6004967065188
"10","litterC_g_m2","sagebrush",12,101.841666666667,166.958442397738,48.1967508309073,106.080333343461
"11","litterC_g_m2","salt_desert",4,391.74225,13.5837797973662,6.79188989868308,21.6148249139577
"12","orgsoilC_g_m2","cheatgrass",238,1783.11563336643,955.066894724175,61.9077917401613,121.95983615918
"13","orgsoilC_g_m2","sagebrush",235,1476.61079286809,627.295342493844,40.9202362004408,80.6191524073198
"14","orgsoilC_g_m2","sagecheat",201,1728.26405185184,1331.37652544091,93.9080595276796,185.17694795142
"15","orgsoilC_g_m2","salt_desert",4,2603.634,1410.74374272297,705.371871361483,2244.80810586541
"16","totsoilC_g_m2","cheatgrass",133,1282.6462547685,826.374427115779,71.6557504311875,141.742156945136
"17","totsoilC_g_m2","sagebrush",13,1490.08230769231,716.039535758488,198.593635495128,432.698360907041
"18","totsoilC_g_m2","sagecheat",69,1446.66834022232,907.504341151738,109.250684288591,218.006346235334
"19","totsoilC_g_m2","salt_desert",24,591.095775,314.252378983901,64.1464982471897,132.697141780781
