"","pool","veg","meanpv","n","var","se"
"1","AGBC_g_m2","cheatgrass",143.861622328571,293,60472.3851682285,14.3662936439997
"2","AGBC_g_m2","sagebrush",226.276285558177,280,376921.397835375,36.6898875633607
"3","AGBC_g_m2","sagecheat",441.296571428571,28,539871.752542476,138.856523143042
"4","AGBC_g_m2","salt_desert",153.6528,10,23909.6353024,48.8974797943616
"5","BGBC_g_m2","cheatgrass",142.33342699247,17,7363.23965817966,20.8118174266161
"6","BGBC_g_m2","sagebrush",281.671124747003,85,9540.2871672863,10.5942754616023
"7","BGBC_g_m2","sagecheat",149.68925,28,19551.5604798981,26.4247992828559
"8","BGBC_g_m2","salt_desert",385.553827039764,45,4999.70392103353,10.5406134346405
"9","litterC_g_m2","cheatgrass",166.317956582927,61,7482.07149688408,11.0750580036849
"10","litterC_g_m2","sagebrush",382.842974272975,14,163435.378400488,108.046080910114
"11","litterC_g_m2","salt_desert",385.701609123228,45,30.1317984690504,0.818288165339359
