"","Study_ID","pool","meancheat","meansage","meansagecheat","meansalt","ncheat","nsage","nsagecheat","nsalt","varcheat","varsage","varsagecheat","varsalt","veg","yrssinceb","geometry"
"1",44,"orgsoilC_g_m2",NA,1549.4112,NA,NA,NA,5,NA,NA,NA,602259.1162272,NA,NA,"sagebrush",12,c(-1407448.04254019, 413414.247254534)
"2",49,"orgsoilC_g_m2",NA,1404,NA,NA,NA,5,NA,NA,NA,491452.61625,NA,NA,"sagebrush",12,c(-1407448.04254019, 413414.247254534)
"3",54,"orgsoilC_g_m2",NA,NA,1602.7362,NA,NA,NA,10,NA,NA,NA,346447.4487444,NA,"sagecheat",12,c(-1407448.04254019, 413414.247254534)
"4",59,"orgsoilC_g_m2",NA,NA,897.75,NA,NA,NA,10,NA,NA,NA,86129.73,NA,"sagecheat",12,c(-1407448.04254019, 413414.247254534)
"5",64,"orgsoilC_g_m2",NA,1743.372,NA,NA,NA,10,NA,NA,NA,201395.07288,NA,NA,"sagebrush",NA,c(-1374135.93565604, 411083.572293487)
"6",69,"orgsoilC_g_m2",NA,1860.3,NA,NA,NA,10,NA,NA,NA,1173692.025,NA,NA,"sagebrush",NA,c(-1374135.93565604, 411083.572293487)
"7",74,"orgsoilC_g_m2",NA,NA,1882.728,NA,NA,NA,5,NA,NA,NA,80944.02252,NA,"sagecheat",NA,c(-1374135.93565604, 411083.572293487)
"8",79,"orgsoilC_g_m2",NA,NA,1101.33,NA,NA,NA,5,NA,NA,NA,42518.37825,NA,"sagecheat",NA,c(-1374135.93565604, 411083.572293487)
"9",84,"orgsoilC_g_m2",NA,967.5288,NA,NA,NA,5,NA,NA,NA,22017.0572172,NA,NA,"sagebrush",7,c(-1736853.73571071, 581421.064759741)
"10",89,"orgsoilC_g_m2",NA,498.96,NA,NA,NA,5,NA,NA,NA,5198.31675,NA,NA,"sagebrush",7,c(-1736853.73571071, 581421.064759741)
"11",94,"orgsoilC_g_m2",NA,NA,978.7626,NA,NA,NA,10,NA,NA,NA,123583.0562676,NA,"sagecheat",7,c(-1736853.73571071, 581421.064759741)
"12",99,"orgsoilC_g_m2",NA,NA,512.055,NA,NA,NA,10,NA,NA,NA,25383.39525,NA,"sagecheat",7,c(-1736853.73571071, 581421.064759741)
"13",104,"orgsoilC_g_m2",NA,2348.5752,NA,NA,NA,5,NA,NA,NA,2047365.7118352,NA,NA,"sagebrush",22,c(-1766813.83075811, 614737.084473211)
"14",109,"orgsoilC_g_m2",NA,1078.65,NA,NA,NA,5,NA,NA,NA,177340.185,NA,NA,"sagebrush",22,c(-1766813.83075811, 614737.084473211)
"15",114,"orgsoilC_g_m2",NA,NA,2376.0198,NA,NA,NA,10,NA,NA,NA,1588041.6248484,NA,"sagecheat",22,c(-1766813.83075811, 614737.084473211)
"16",119,"orgsoilC_g_m2",NA,NA,1251.18,NA,NA,NA,10,NA,NA,NA,608921.469,NA,"sagecheat",22,c(-1766813.83075811, 614737.084473211)
"17",124,"orgsoilC_g_m2",NA,707.8716,NA,NA,NA,5,NA,NA,NA,27187.3237968,NA,NA,"sagebrush",NA,c(-1596266.63473337, 811254.705813472)
"18",129,"orgsoilC_g_m2",NA,504.63,NA,NA,NA,5,NA,NA,NA,8828.55449999999,NA,NA,"sagebrush",NA,c(-1596266.63473337, 811254.705813472)
"19",134,"orgsoilC_g_m2",NA,NA,1164.618,NA,NA,NA,10,NA,NA,NA,381869.664696,NA,"sagecheat",NA,c(-1596266.63473337, 811254.705813472)
"20",139,"orgsoilC_g_m2",NA,NA,779.49,NA,NA,NA,10,NA,NA,NA,211400.766,NA,"sagecheat",NA,c(-1596266.63473337, 811254.705813472)
"21",144,"orgsoilC_g_m2",NA,933.4008,NA,NA,NA,5,NA,NA,NA,74003.8258152,NA,NA,"sagebrush",NA,c(-1583135.63767636, 813611.227236335)
"22",149,"orgsoilC_g_m2",NA,674.73,NA,NA,NA,5,NA,NA,NA,57454.677,NA,NA,"sagebrush",NA,c(-1583135.63767636, 813611.227236335)
"23",154,"orgsoilC_g_m2",NA,NA,807.696,NA,NA,NA,5,NA,NA,NA,220857.06969,NA,"sagecheat",NA,c(-1583135.63767636, 813611.227236335)
"24",159,"orgsoilC_g_m2",NA,NA,588.33,NA,NA,NA,5,NA,NA,NA,7553.71575,NA,"sagecheat",NA,c(-1583135.63767636, 813611.227236335)
"25",185,"totsoilC_g_m2",684.886392,NA,NA,NA,25,NA,NA,NA,80552.6378491716,NA,NA,NA,"cheatgrass",5,c(-1858232.93680917, 563472.069499267)
"26",186,"AGBC_g_m2",45.7488,NA,NA,NA,10,NA,NA,NA,387.4531584,NA,NA,NA,"cheatgrass",5,c(-1858232.93680917, 563472.069499267)
"27",195,"totsoilC_g_m2",NA,NA,NA,591.095775,NA,NA,NA,24,NA,NA,NA,98754.5576970411,"salt_desert",5,c(-1858232.93680917, 563472.069499267)
"28",196,"AGBC_g_m2",NA,NA,NA,153.6528,NA,NA,NA,10,NA,NA,NA,23909.6353024,"salt_desert",5,c(-1858232.93680917, 563472.069499267)
"29",205,"totsoilC_g_m2",1134.738936,NA,NA,NA,25,NA,NA,NA,397880.097216062,NA,NA,NA,"cheatgrass",19,c(-1808296.83592814, 599983.456219286)
"30",206,"AGBC_g_m2",21.0672,NA,NA,NA,10,NA,NA,NA,30.0582144,NA,NA,NA,"cheatgrass",19,c(-1808296.83592814, 599983.456219286)
"31",211,"AGBC_g_m2",NA,642.6048,NA,NA,NA,10,NA,NA,NA,838120.7773184,NA,NA,"sagebrush",19,c(-1808296.83592814, 599983.456219286)
"32",220,"totsoilC_g_m2",NA,NA,1211.521248,NA,NA,NA,25,NA,NA,NA,508793.407085847,NA,"sagecheat",19,c(-1808296.83592814, 599983.456219286)
"33",225,"totsoilC_g_m2",1943.93088,NA,NA,NA,25,NA,NA,NA,720410.53920102,NA,NA,NA,"cheatgrass",18,c(-1785284.80928191, 595780.123951894)
"34",226,"AGBC_g_m2",90.4608,NA,NA,NA,10,NA,NA,NA,6695.1926784,NA,NA,NA,"cheatgrass",18,c(-1785284.80928191, 595780.123951894)
"35",231,"AGBC_g_m2",NA,329.458666666667,NA,NA,NA,18,NA,NA,NA,376650.669936941,NA,NA,"sagebrush",18,c(-1785284.80928191, 595780.123951894)
"36",240,"totsoilC_g_m2",NA,NA,1468.44769090909,NA,NA,NA,33,NA,NA,NA,1108162.06365277,NA,"sagecheat",18,c(-1785284.80928191, 595780.123951894)
"37",465,"totsoilC_g_m2",NA,NA,1623.82247165,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1820561.68658578, 563601.573278247)
"38",470,"totsoilC_g_m2",1281.67379652,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",16,c(-1821182.0850942, 568616.703187537)
"39",475,"totsoilC_g_m2",1469.04207396,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",16,c(-1820348.36759495, 568535.85742978)
"40",480,"totsoilC_g_m2",1098.69622875,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",32,c(-1820923.70288574, 568761.223574828)
"41",490,"totsoilC_g_m2",NA,NA,3317.88113415,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",22,c(-1724534.86999409, 579656.986232995)
"42",495,"totsoilC_g_m2",NA,NA,2381.9689586,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",33,c(-1723944.90017875, 579765.84635001)
"43",500,"totsoilC_g_m2",2572.14552056,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",1,c(-1725559.41366902, 580561.128578836)
"44",505,"totsoilC_g_m2",1022.34854142,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",1,c(-1736024.74487619, 583615.309576522)
"45",510,"totsoilC_g_m2",NA,NA,2083.85561241,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1719242.21493091, 580456.298660369)
"46",515,"totsoilC_g_m2",1613.593221,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",1,c(-1737028.087319, 584927.686058744)
"47",520,"totsoilC_g_m2",3190.12739192,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",1,c(-1722833.74199933, 583625.178885936)
"48",525,"totsoilC_g_m2",NA,NA,1543.287955,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1737751.20644908, 590295.137009224)
"49",530,"totsoilC_g_m2",NA,NA,1652.88511872,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",11,c(-1792636.82579212, 615338.439408846)
"50",535,"totsoilC_g_m2",1415.19894792,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",6,c(-1792936.88005545, 615545.62307423)
"51",540,"totsoilC_g_m2",NA,NA,1672.90223244,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",21,c(-1792475.78591052, 615504.92120235)
"52",545,"totsoilC_g_m2",NA,NA,1484.269204,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",21,c(-1791245.16722306, 617014.786929622)
"53",550,"totsoilC_g_m2",1968.97497797,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",18,c(-1726151.53649847, 602485.115118601)
"54",555,"totsoilC_g_m2",1872.53330875,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",18,c(-1725994.82096559, 602483.662620355)
"55",560,"totsoilC_g_m2",NA,NA,1098.11053812,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",21,c(-1798942.24443511, 620034.860883408)
"56",565,"totsoilC_g_m2",1998.5794752,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",21,c(-1799275.69770058, 620203.278202967)
"57",570,"totsoilC_g_m2",1634.11298024,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",21,c(-1799193.33147163, 620669.187820626)
"58",575,"totsoilC_g_m2",1387.4491316,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",21,c(-1800842.22470662, 621393.965731564)
"59",580,"totsoilC_g_m2",NA,NA,2821.32509675,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1721460.6080553, 604349.311650521)
"60",585,"totsoilC_g_m2",1946.67716,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",17,c(-1810893.63508171, 669197.597589476)
"61",590,"totsoilC_g_m2",1418.43780516,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",17,c(-1810442.66055426, 669378.711424542)
"62",595,"totsoilC_g_m2",1871.25612324,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"cheatgrass",17,c(-1810263.64277497, 669925.093009643)
"63",600,"totsoilC_g_m2",NA,NA,1393.0021535,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1812818.82989453, 679548.839896259)
"64",1049,"orgsoilC_g_m2",2066.94217849263,NA,NA,NA,19,NA,NA,NA,615474.419285245,NA,NA,NA,"cheatgrass",NA,c(-1023529.43804486, 651248.182798586)
"65",1054,"orgsoilC_g_m2",NA,NA,1870.68909428526,NA,NA,NA,19,NA,NA,NA,147555.936910371,NA,"sagecheat",NA,c(-1023529.43804486, 651248.182798586)
"66",1062,"orgsoilC_g_m2",1827.09538676471,NA,NA,NA,68,NA,NA,NA,152124.383622826,NA,NA,NA,"cheatgrass",NA,c(-1388347.83194823, 438856.220386811)
"67",1063,"orgsoilC_g_m2",1901.214444375,NA,NA,NA,64,NA,NA,NA,186952.037922404,NA,NA,NA,"cheatgrass",NA,c(-1388347.83194823, 438856.220386811)
"68",1072,"orgsoilC_g_m2",NA,1606.49786260588,NA,NA,NA,68,NA,NA,NA,142357.259152036,NA,NA,"sagebrush",NA,c(-1388347.83194823, 438856.220386811)
"69",1073,"orgsoilC_g_m2",NA,1590.17726041875,NA,NA,NA,64,NA,NA,NA,212496.240261629,NA,NA,"sagebrush",NA,c(-1388347.83194823, 438856.220386811)
"70",1107,"BGBC_g_m2",NA,NA,148.626,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1382264.45698718, 422570.445602223)
"71",1109,"orgsoilC_g_m2",NA,NA,3811.362,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1382264.45698718, 422570.445602223)
"72",1112,"BGBC_g_m2",NA,NA,15.509,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1382117.89320993, 422545.282456946)
"73",1114,"orgsoilC_g_m2",NA,NA,4274.672,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1382117.89320993, 422545.282456946)
"74",1117,"BGBC_g_m2",NA,NA,40.021,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1381982.13245711, 422527.953611068)
"75",1119,"orgsoilC_g_m2",NA,NA,4318.548,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1381982.13245711, 422527.953611068)
"76",1122,"BGBC_g_m2",NA,NA,122.733,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1381778.2788199, 423301.885736268)
"77",1124,"orgsoilC_g_m2",NA,NA,2655.61,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1381778.2788199, 423301.885736268)
"78",1127,"BGBC_g_m2",NA,NA,85.839,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1381780.65788434, 423350.278013705)
"79",1129,"orgsoilC_g_m2",NA,NA,4096.778,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1381780.65788434, 423350.278013705)
"80",1132,"BGBC_g_m2",NA,NA,107.877,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1382013.6751309, 423412.577145881)
"81",1134,"orgsoilC_g_m2",NA,NA,4000.836,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1382013.6751309, 423412.577145881)
"82",1137,"BGBC_g_m2",NA,NA,58.571,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1714737.9960779, 642587.403208148)
"83",1139,"orgsoilC_g_m2",NA,NA,2734.414,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1714737.9960779, 642587.403208148)
"84",1142,"BGBC_g_m2",NA,84.923,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1715376.44952317, 642761.92365097)
"85",1144,"orgsoilC_g_m2",NA,5438.12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1715376.44952317, 642761.92365097)
"86",1147,"BGBC_g_m2",NA,NA,42.36,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1715642.24475599, 642923.962331592)
"87",1149,"orgsoilC_g_m2",NA,NA,3628.242,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1715642.24475599, 642923.962331592)
"88",1152,"BGBC_g_m2",NA,NA,147.618,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1714445.80866602, 642692.203372648)
"89",1154,"orgsoilC_g_m2",NA,NA,2933.278,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1714445.80866602, 642692.203372648)
"90",1157,"BGBC_g_m2",NA,215.401,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1714814.78645885, 642843.344659915)
"91",1159,"orgsoilC_g_m2",NA,3858.29,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1714814.78645885, 642843.344659915)
"92",1162,"BGBC_g_m2",NA,400.701,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1715214.90616784, 643032.481476501)
"93",1164,"orgsoilC_g_m2",NA,5098.771,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1715214.90616784, 643032.481476501)
"94",1167,"BGBC_g_m2",NA,NA,71.935,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1889654.9961373, 817506.279543367)
"95",1169,"orgsoilC_g_m2",NA,NA,1767.605,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1889654.9961373, 817506.279543367)
"96",1172,"BGBC_g_m2",NA,NA,84.015,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1889111.66557476, 817472.794775014)
"97",1174,"orgsoilC_g_m2",NA,NA,1904.867,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1889111.66557476, 817472.794775014)
"98",1177,"BGBC_g_m2",NA,NA,51.469,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1889189.57781338, 817571.391414584)
"99",1179,"orgsoilC_g_m2",NA,NA,3438.995,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1889189.57781338, 817571.391414584)
"100",1182,"BGBC_g_m2",NA,NA,515.814,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1893291.36239922, 819522.928397117)
"101",1184,"orgsoilC_g_m2",NA,NA,5151.697,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1893291.36239922, 819522.928397117)
"102",1187,"BGBC_g_m2",NA,NA,9.161,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1892855.98124647, 819682.265320167)
"103",1189,"orgsoilC_g_m2",NA,NA,3021.045,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1892855.98124647, 819682.265320167)
"104",1192,"BGBC_g_m2",NA,NA,35.585,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1893104.54585298, 819791.750060586)
"105",1194,"orgsoilC_g_m2",NA,NA,2737.653,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1893104.54585298, 819791.750060586)
"106",1197,"BGBC_g_m2",NA,NA,219.033,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1888141.10565856, 818558.49728897)
"107",1199,"orgsoilC_g_m2",NA,NA,1845.035,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1888141.10565856, 818558.49728897)
"108",1202,"BGBC_g_m2",NA,NA,72.594,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1888325.50867299, 818709.463735426)
"109",1204,"orgsoilC_g_m2",NA,NA,1708.942,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1888325.50867299, 818709.463735426)
"110",1207,"BGBC_g_m2",NA,71.144,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1887776.56808407, 818724.180395278)
"111",1209,"orgsoilC_g_m2",NA,1750.645,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1887776.56808407, 818724.180395278)
"112",1212,"BGBC_g_m2",NA,NA,17.617,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1893394.52202669, 820146.277948589)
"113",1214,"orgsoilC_g_m2",NA,NA,1629.55,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1893394.52202669, 820146.277948589)
"114",1217,"BGBC_g_m2",NA,645.342,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1893480.85725471, 820303.379660774)
"115",1219,"orgsoilC_g_m2",NA,5115.166,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"sagebrush",NA,c(-1893480.85725471, 820303.379660774)
"116",1222,"BGBC_g_m2",NA,NA,75.399,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1892643.47000155, 820135.986954814)
"117",1224,"orgsoilC_g_m2",NA,NA,4013.888,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1892643.47000155, 820135.986954814)
"118",1227,"BGBC_g_m2",NA,NA,39.423,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1299488.55687352, 812025.512234134)
"119",1229,"orgsoilC_g_m2",NA,NA,300.327,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1299488.55687352, 812025.512234134)
"120",1232,"BGBC_g_m2",NA,NA,273.172,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1299282.61946225, 812168.055563591)
"121",1234,"orgsoilC_g_m2",NA,NA,884.841,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1299282.61946225, 812168.055563591)
"122",1237,"BGBC_g_m2",NA,NA,211.803,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1298608.2236692, 813801.740762596)
"123",1239,"orgsoilC_g_m2",NA,NA,5410.512,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1298608.2236692, 813801.740762596)
