cheatgrass_studyID,meancheat,ncheat,varcheat,sagecheat_studyID,meansagecheat,nsagecheat,varsagecheat,sagebrush_studyID,meansage,nsage,varsage,pool,Article_ID
206,21.0672,10,30.0582144,216,642.6048,10,838120.7773,NA,NA,NA,NA,AGBC_g_m2,BRAD2006
226,90.4608,10,6695.192678,236,329.4586667,18,376650.6699,NA,NA,NA,NA,AGBC_g_m2,BRAD2006
411,120,5,500,NA,NA,NA,NA,416,380,5,24500,AGBC_g_m2,HOOK2008
372,185.6183333,3,6471.778994,377,139.9533333,3,1167.706156,NA,NA,NA,NA,BGBC_g_m2,GOER2011
382,48.46,3,254.938288,387,46.635,3,26.418949,NA,NA,NA,NA,BGBC_g_m2,GOER2011
392,161.4106667,3,6540.163641,397,139.527,3,2155.889947,NA,NA,NA,NA,BGBC_g_m2,GOER2011
402,77.52333333,3,2.753957333,407,223.248,3,36550.34631,NA,NA,NA,NA,BGBC_g_m2,GOER2011
412,200,5,4500,NA,NA,NA,NA,417,240,5,4500,BGBC_g_m2,HOOK2008
413,90,5,500,NA,NA,NA,NA,418,60,5,500,litterC_g_m2,HOOK2008
374,2730.699667,3,683215.1879,379,2573.107333,3,431345.5444,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
384,3228.856333,3,146468.8312,389,3394.44,3,74618.99175,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
394,1279.486333,3,46775.62214,399,1156.449333,3,107320.328,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
404,1382.053667,3,92751.46279,409,1207.813667,3,36569.48921,NA,NA,NA,NA,orgsoilC_g_m2,GOER2011
1089,2066.942178,19,615474.4193,1094,1870.689094,19,147555.9369,NA,NA,NA,NA,orgsoilC_g_m2,NORT2008
1102,1827.095387,68,152124.3836,NA,NA,NA,NA,1112,1606.497863,68,142357.2592,orgsoilC_g_m2,NORT2012
1103,1901.214444,64,186952.0379,NA,NA,NA,NA,1113,1590.17726,64,212496.2403,orgsoilC_g_m2,NORT2012
1304,1672.12,4,232598.9141,1344,1740.46,4,111849.4736,1324,1389.24,4,61128.66347,orgsoilC_g_m2,STAR2015
1309,1340.55,4,95336.19,1349,1415.475,4,93289.5225,1329,1130.2875,4,98443.40063,orgsoilC_g_m2,STAR2015
1314,2190.5025,4,70428.48203,1354,2418.9375,4,427787.9474,1334,1859.49,4,55895.1054,orgsoilC_g_m2,STAR2015
1319,1876.935,4,111922.071,1359,1883.215,4,216657.3153,1339,1712.87,4,136709.9271,orgsoilC_g_m2,STAR2015
1454,1104.42,6,70470.97546,NA,NA,NA,NA,1464,1731.996,6,154477.5116,orgsoilC_g_m2,WEBE2015
1459,547.944,6,2040.417562,NA,NA,NA,NA,1469,862.68,6,19446.51663,orgsoilC_g_m2,WEBE2015
NA,NA,NA,NA,54,1602.7362,10,346447.4487,44,1549.4112,5,602259.1162,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,59,897.75,10,86129.73,49,1404,5,491452.6163,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,74,1882.728,5,80944.02252,64,1743.372,10,201395.0729,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,79,1101.33,5,42518.37825,69,1860.3,10,1173692.025,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,94,978.7626,10,123583.0563,84,967.5288,5,22017.05722,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,99,512.055,10,25383.39525,89,498.96,5,5198.31675,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,114,2376.0198,10,1588041.625,104,2348.5752,5,2047365.712,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,119,1251.18,10,608921.469,109,1078.65,5,177340.185,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,134,1164.618,10,381869.6647,124,707.8716,5,27187.3238,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,139,779.49,10,211400.766,129,504.63,5,8828.5545,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,154,807.696,5,220857.0697,144,933.4008,5,74003.82582,orgsoilC_g_m2,BLAN2006
NA,NA,NA,NA,159,588.33,5,7553.71575,149,674.73,5,57454.677,orgsoilC_g_m2,BLAN2006
205,1134.738936,25,397880.0972,215,1211.521248,25,508793.4071,NA,NA,NA,NA,totsoilC_g_m2,BRAD2006
225,1943.93088,25,720410.5392,235,1468.447691,33,1108162.064,NA,NA,NA,NA,totsoilC_g_m2,BRAD2006
425,5405.4,15,564772.824,NA,NA,NA,NA,430,1496.88,15,11525.976,totsoilC_g_m2,JOHN2011
505,2099.553669,4,936407.5157,510,2594.568568,3,414603.6926,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
530,1608.835134,4,79682.11854,535,1477.041773,4,70974.43944,NA,NA,NA,NA,totsoilC_g_m2,MAHO2018a
