"","Study_ID","pool","meanpv","n","var","se"
"1","54","orgsoilC_g_m2",1602.7362,10,346447.4487444,186.130988485099
"2","59","orgsoilC_g_m2",897.75,10,86129.73,92.8061043250927
"3","74","orgsoilC_g_m2",1882.728,5,80944.02252,127.235232950626
"4","79","orgsoilC_g_m2",1101.33,5,42518.37825,92.2153764293136
"5","94","orgsoilC_g_m2",978.7626,10,123583.0562676,111.167916355215
"6","99","orgsoilC_g_m2",512.055,10,25383.39525,50.3819364951368
"7","114","orgsoilC_g_m2",2376.0198,10,1588041.6248484,398.502399597342
"8","119","orgsoilC_g_m2",1251.18,10,608921.469,246.763341888539
"9","134","orgsoilC_g_m2",1164.618,10,381869.664696,195.414857340991
"10","139","orgsoilC_g_m2",779.49,10,211400.766,145.396274367674
"11","154","orgsoilC_g_m2",807.696,5,220857.06969,210.169964405002
"12","159","orgsoilC_g_m2",588.33,5,7553.71575,38.8682794834039
"13","377","BGBC_g_m2",139.953333333333,3,1167.70615633333,19.7290492787778
"14","379","orgsoilC_g_m2",2573.10733333333,3,431345.544389333,379.185769946312
"15","387","BGBC_g_m2",46.635,3,26.418949,2.96754382163656
"16","389","orgsoilC_g_m2",3394.44,3,74618.9917480001,157.711753681624
"17","397","BGBC_g_m2",139.527,3,2155.889947,26.8072748024362
"18","399","orgsoilC_g_m2",1156.44933333333,3,107320.327956333,189.138686291597
"19","407","BGBC_g_m2",223.248,3,36550.346308,110.378660842272
"20","409","orgsoilC_g_m2",1207.81366666667,3,36569.4892063333,110.407561948648
"21","510","totsoilC_g_m2",2594.56856838667,3,414603.692637502,371.754261413595
"22","535","totsoilC_g_m2",1477.04177332,4,70974.4394441976,133.205142021806
"23","1094","orgsoilC_g_m2",1870.68909428526,19,147555.936910371,88.1254897441774
"24","1344","orgsoilC_g_m2",1740.46,4,111849.4736,167.219521587642
"25","1349","orgsoilC_g_m2",1415.475,4,93289.5225,152.716667803485
"26","1354","orgsoilC_g_m2",2418.9375,4,427787.947425,327.027501681816
"27","1359","orgsoilC_g_m2",1883.215,4,216657.3153,232.73231151905
