"","Study_ID","pool","meanpv","n","var","se"
"1","44","orgsoilC_g_m2",1549.4112,5,602259.1162272,347.061699479271
"2","49","orgsoilC_g_m2",1404,5,491452.61625,313.513194698405
"3","64","orgsoilC_g_m2",1743.372,10,201395.07288,141.913731851431
"4","69","orgsoilC_g_m2",1860.3,10,1173692.025,342.591889133412
"5","84","orgsoilC_g_m2",967.5288,5,22017.0572172,66.3582055471665
"6","89","orgsoilC_g_m2",498.96,5,5198.31675,32.2438110340574
"7","104","orgsoilC_g_m2",2348.5752,5,2047365.7118352,639.900884799388
"8","109","orgsoilC_g_m2",1078.65,5,177340.185,188.329596718094
"9","124","orgsoilC_g_m2",707.8716,5,27187.3237968,73.7391670644577
"10","129","orgsoilC_g_m2",504.63,5,8828.55449999999,42.0203629208506
"11","144","orgsoilC_g_m2",933.4008,5,74003.8258152,121.658395366041
"12","149","orgsoilC_g_m2",674.73,5,57454.677,107.195780700548
"13","1112","orgsoilC_g_m2",1606.49786260588,68,142357.259152036,45.7546621141169
"14","1113","orgsoilC_g_m2",1590.17726041875,64,212496.240261629,57.621643104722
"15","1324","orgsoilC_g_m2",1389.24,4,61128.6634666667,123.621057537406
"16","1329","orgsoilC_g_m2",1130.2875,4,98443.400625,156.878456635224
"17","1334","orgsoilC_g_m2",1859.49,4,55895.1054,118.210728574017
"18","1339","orgsoilC_g_m2",1712.87,4,136709.927066667,184.871527733901
"19","1464","orgsoilC_g_m2",1731.996,6,154477.5115968,160.456386388327
"20","1469","orgsoilC_g_m2",862.68,6,19446.5166336,56.9305375488411
