"","Study_ID","pool","meanpv","n","var","se"
"1","35","orgsoilC_g_m2",740.674536274511,3,67087.9844824233,149.541504252636
"2","36","orgsoilC_g_m2",1927.38422502809,4,33883.6952232289,92.0376216870429
"3","37","orgsoilC_g_m2",1395.05632542628,16,133774.951711906,91.4381456613931
"4","47","orgsoilC_g_m2",1112.71811856103,3,855514.832045776,534.014616543335
"5","48","orgsoilC_g_m2",1139.82325446621,4,8492.59451021269,46.0776369571311
"6","81","AGBC_g_m2",23.57896257,25,494.181536874682,4.44603885216799
"7","139","orgsoilC_g_m2",1549.4112,5,602259.1162272,347.061699479271
"8","144","orgsoilC_g_m2",1404,5,491452.61625,313.513194698405
"9","159","orgsoilC_g_m2",1743.372,10,201395.07288,141.913731851431
"10","164","orgsoilC_g_m2",1860.3,10,1173692.025,342.591889133412
"11","179","orgsoilC_g_m2",967.5288,5,22017.0572172,66.3582055471665
"12","184","orgsoilC_g_m2",498.96,5,5198.31675,32.2438110340574
"13","199","orgsoilC_g_m2",2348.5752,5,2047365.7118352,639.900884799388
"14","204","orgsoilC_g_m2",1078.65,5,177340.185,188.329596718094
"15","219","orgsoilC_g_m2",707.8716,5,27187.3237968,73.7391670644577
"16","224","orgsoilC_g_m2",504.63,5,8828.55449999999,42.0203629208506
"17","239","orgsoilC_g_m2",933.4008,5,74003.8258152,121.658395366041
"18","244","orgsoilC_g_m2",674.73,5,57454.677,107.195780700548
"19","270","totsoilC_g_m2",772.9,1,NA,NA
"20","275","totsoilC_g_m2",567.6,1,NA,NA
"21","546","AGBC_g_m2",498.455338906895,5,43729.4670179648,93.5194814121259
"22","547","BGBC_g_m2",263.145424466919,5,1722.82755680796,18.5624758952461
"23","548","litterC_g_m2",60.8540403069137,5,356.731671417585,8.44667593101079
"24","549","orgsoilC_g_m2",6167.20754214773,5,1149270.04680845,479.430922408734
"25","560","totsoilC_g_m2",1511.80685346,15,11177.1913291551,27.2973641330137
"26","1242","orgsoilC_g_m2",1606.49786260588,68,142357.259152036,45.7546621141169
"27","1243","orgsoilC_g_m2",1590.17726041875,64,212496.240261629,57.621643104722
"28","1494","orgsoilC_g_m2",1389.24,4,61128.6634666667,123.621057537406
"29","1499","orgsoilC_g_m2",1130.2875,4,98443.400625,156.878456635224
"30","1504","orgsoilC_g_m2",1859.49,4,55895.1054,118.210728574017
"31","1509","orgsoilC_g_m2",1712.87,4,136709.927066667,184.871527733901
"32","1541","AGBC_g_m2",13.94,5,0,0
"33","1542","AGBC_g_m2",10.67,5,0,0
"34","1543","BGBC_g_m2",60.41,5,0,0
"35","1544","BGBC_g_m2",29.96,5,0,0
"36","1545","litterC_g_m2",2.51,5,0,0
"37","1546","litterC_g_m2",11.27,5,0,0
"38","1561","AGBC_g_m2",26.12,5,0,0
"39","1562","AGBC_g_m2",28.26,5,0,0
"40","1563","BGBC_g_m2",27.25,5,0,0
"41","1564","BGBC_g_m2",11.49,5,0,0
"42","1565","litterC_g_m2",2.28,5,0,0
"43","1566","litterC_g_m2",8.38,5,0,0
"44","1581","AGBC_g_m2",19,5,0,0
"45","1582","AGBC_g_m2",13.19,5,0,0
"46","1583","BGBC_g_m2",61.84,5,0,0
"47","1584","BGBC_g_m2",15.72,5,0,0
"48","1585","litterC_g_m2",1.37,5,0,0
"49","1586","litterC_g_m2",5.91,5,0,0
"50","1674","orgsoilC_g_m2",1731.996,6,154477.5115968,160.456386388327
"51","1679","orgsoilC_g_m2",862.68,6,19446.5166336,56.9305375488411
