"","lat","long"
"1",41.229507,-117.4019367
"37",41.536094,-117.7637079
"73",42.853,-112.402
"97",43.6,-117.122
"127",43.893,-117.135
"157",43.247,-115.901
"187",43.292,-115.748
"217",40.111,-112.344
"247",40.08,-112.737
"277",40.971,-116.976
"307",41.202,-117.415
"337",41.965259,-113.157085
"356",42.162137,-113.432503
"369",39.421849,-111.55894
"380",42.5026882,-113.3938899
"390",41.462043,-113.157667
"404",41.892425,-112.2155141
"411",39.483654,-111.683913
"1100",39.90333333,-108.40083333
"1101",43.48333333,-119.71666667
"1102",40.99,-117.86
"1001",41,-117.58
"1104",42.70777778,-108.60583333
"1105",41.04656992,-117.0097999
"2104",41.00121494,-116.9872394
"3104",40.99174113,-116.9720639
"427",41.20085394,-116.8558196
"515",41.17547069,-116.9059484
"614",41.17576347,-116.9041072
"714",40.64871074,-117.9034863
"815",40.69282033,-117.9217565
"914",40.6920357,-117.9144585
"1014",40.69103667,-117.9243636
"1114",40.99685694,-116.7675401
"1215",41.01752068,-116.8178031
"1314",41.67256147,-118.1327585
"1414",41.58652131,-118.081253
"1515",41.59414331,-118.0758684
"1613",41.58902398,-118.0764536
"1712",40.9753649,-116.8302893
"1812",40.98172149,-116.8207496
"1911",40.97962727,-116.8273654
"2011",40.98551857,-116.8417027
"2112",41.18340592,-117.8054937
"2212",41.18419331,-117.8098555
"2312",41.1884131,-117.8101653
"2412",41.19136487,-117.8314411
"2513",41.17273659,-117.7071972
"2613",41.15711155,-117.7174876
"2713",41.15533736,-117.7189185
"2812",41.15653253,-117.7229924
"1106",41.212389,-117.391056
"428",40.779361,-117.6835
"715",40.493167,-117.56725
"1015",41.714417,-117.762139
"1315",41.219778,-117.04125
"1614",40.967611,-117.651972
"1912",41.263639,-117.706806
"2213",41.314778,-117.687
"2514",40.982792,-117.575019
"2813",41.539986,-117.769783
"3113",41.621806,-118.244667
"3413",41.228756,-117.401792
"3713",41.535894,-117.762083
"4013",41.170667,-117.403333
"434",40.8595,-117.72875
"464",41.641167,-118.242778
"494",41.24385,-117.3836167
"522",41.28255,-117.3779833
"553",41.35338333,-117.62285
"582",40.69035,-117.9552333
"1107",39.83281,-119.8809
"716",39.88089,-119.7154
"1316",39.23925,-119.743
"1913",39.90003,-119.7014
"1108",40.20672165,-112.4580165
"2515",40.20733279,-112.4609906
"3315",40.20714347,-112.4581431
"717",40.19954278,-112.462198
"818",40.19954701,-112.4604358
"917",40.19960348,-112.4588157
"1914",41.54733837,-116.8771132
"2014",41.54882116,-116.8739449
"2115",41.54942075,-116.878692
"2215",41.54761685,-116.8850981
"2315",41.54851208,-116.8886577
"2415",41.55029084,-116.8839063
"3114",43.75699849,-112.2825196
"3214",43.75857212,-112.2802924
"3414",43.77661251,-112.2765518
"3514",43.77403142,-112.275478
"3614",43.77944836,-112.2789981
"435",42.7201419,-119.4269876
"445",42.72104923,-119.4296365
"455",42.72237553,-119.4231421
"465",42.70770498,-119.441863
"475",42.70860136,-119.4352924
"485",42.70928671,-119.4365158
"554",47.61750084,-119.6812963
"583",47.62388108,-119.680904
"672",42.72243147,-119.4943213
"682",42.72360542,-119.4958217
"691",42.72398644,-119.4853458
"732",42.7172492,-119.4912194
"742",42.71958473,-119.4865134
"752",42.71999049,-119.4898025
"851",46.74932533,-119.3605141
"861",46.75059935,-119.3576499
"871",46.75070968,-119.3649477
"881",46.74908802,-119.3501864
"891",46.74999568,-119.3524387
"901",46.75036178,-119.3481993
"1109",43.55,-103.36667
"1118",40.571,-118.341
"719",NA,NA
"1119",41.8667,-113.0833
"1219",43.55,-103.3667
"1318",40.2833,-112.4667
"1519",40.4733,-105.1875
"1716",41.8647,-117.655
"1916",41.3843,-117.3021
