"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",29.89,551,2008,"1","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",40.27,551,2008,"2","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",31.53,551,2008,"3","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",37.99,551,2008,"4","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",44.39,551,2008,"5","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",27.58,551,2008,"6","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",46.18,551,2008,"7","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",32.98,551,2008,"8","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",35.37,551,2008,"9","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",46.09,551,2008,"10","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",57.65,551,2008,"11","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",35.94,551,2008,"12","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,5
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",31.01,576,2008,"13",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",26.15,576,2008,"14",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",26.42,576,2008,"15",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",29.7,576,2008,"16",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",31.22,576,2008,"17",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",31.74,576,2008,"18",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",30.32,576,2008,"19",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",37.41,576,2008,"20",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",36.65,576,2008,"21",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",29.86,576,2008,"22",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",43.83,576,2008,"23",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",41.96,576,2008,"24",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,58
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",105.34,552,2009,"25","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,6
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",60.24,552,2009,"26","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,6
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",49.11,552,2009,"27","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,6
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",57.27,552,2009,"28","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,6
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",53.9,577,2009,"29",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,59
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",47.15,577,2009,"30",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,59
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",41.01,577,2009,"31",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,59
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",28.5,577,2009,"32",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,59
