"","site","yr_samp","BD_g_cm3","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID"
"1","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",29.89,575
"2","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",40.27,575
"3","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",31.53,575
"4","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",37.99,575
"5","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",44.39,575
"6","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",27.58,575
"7","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",46.18,575
"8","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",32.98,575
"9","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",35.37,575
"10","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",46.09,575
"11","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",57.65,575
"12","E","2008",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",35.94,575
"13","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",31.01,610
"14","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",26.15,610
"15","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",26.42,610
"16","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",29.7,610
"17","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",31.22,610
"18","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",31.74,610
"19","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",30.32,610
"20","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",37.41,610
"21","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",36.65,610
"22","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",29.86,610
"23","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",43.83,610
"24","O","2008",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",41.96,610
"25","E","2009",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",105.34,576
"26","E","2009",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",60.24,576
"27","E","2009",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",49.11,576
"28","E","2009",1.11,0,5,"no","cheatgrass","Jones et al. 2015",41.229507,-117.4019367,5,"JONE2015","AGBC_g_m2",57.27,576
"29","O","2009",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",53.9,611
"30","O","2009",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",47.15,611
"31","O","2009",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",41.01,611
"32","O","2009",1.94,0,5,"no","cheatgrass","Jones et al. 2015",41.536094,-117.7637079,5,"JONE2015","AGBC_g_m2",28.5,611
"33","E","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",95.06,596
"34","E","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",69.24,596
"35","E","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",77.36,596
"36","E","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",70.98,596
"37","O","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",92.05,631
"38","O","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",83.88,631
"39","O","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",71.89,631
"40","O","2010",NA,NA,NA,NA,NA,"Jones et al. 2015",41.536094,-117.7637079,NA,"JONE2015","AGBC_g_m2",110.46,631
"41","E","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",46.26,597
"42","E","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",29.79,597
"43","E","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",61.14,597
"44","E","2011",NA,NA,NA,NA,NA,"Jones et al. 2015",41.229507,-117.4019367,NA,"JONE2015","AGBC_g_m2",25.88,597
